pokedex_number,name,german_name,japanese_name,generation,status,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,normal,fire,water,electric,grass,ice,fight,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
12,Butterfree,Smettbo,バタフリー (Butterfree),1,Normal,Butterfly Pokémon,Bug,Flying,1.1,32.0,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,45.0,70.0,178.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
13,Weedle,Hornliu,ビードル (Beedle),1,Normal,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,Shield Dust,,Run Away,40,35,30,20,20,50,255.0,70.0,39.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
14,Kakuna,Kokuna,コクーン (Cocoon),1,Normal,Cocoon Pokémon,Bug,Poison,0.6,10.0,Shed Skin,,,45,25,50,25,25,35,120.0,70.0,72.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
15,Beedrill,Bibor,スピアー (Spear),1,Normal,Poison Bee Pokémon,Bug,Poison,1.0,29.5,Swarm,,Sniper,65,90,40,45,80,75,45.0,70.0,178.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
15,Mega Beedrill,Bibor,スピアー (Spear),1,Normal,Poison Bee Pokémon,Bug,Poison,1.4,40.5,Adaptability,,,65,150,40,15,80,145,45.0,70.0,223.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
16,Pidgey,Taubsi,ポッポ (Poppo),1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,255.0,70.0,50.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
17,Pidgeotto,Tauboga,ピジョン (Pigeon),1,Normal,Bird Pokémon,Normal,Flying,1.1,30.0,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,120.0,70.0,122.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
18,Pidgeot,Tauboss,ピジョット (Pigeot),1,Normal,Bird Pokémon,Normal,Flying,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,45.0,70.0,216.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
18,Mega Pidgeot,Tauboss,ピジョット (Pigeot),1,Normal,Bird Pokémon,Normal,Flying,2.2,50.5,No Guard,,,83,80,80,135,80,121,45.0,70.0,261.0,Medium Slow,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
19,Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Mouse Pokémon,Normal,,0.3,3.5,Run Away,Guts,Hustle,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
19,Alolan Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Mouse Pokémon,Dark,Normal,0.3,3.8,Gluttony,Hustle,Thick Fat,30,56,35,25,35,72,255.0,70.0,51.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
20,Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Mouse Pokémon,Normal,,0.7,18.5,Run Away,Guts,Hustle,55,81,60,50,70,97,127.0,70.0,145.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
20,Alolan Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Mouse Pokémon,Dark,Normal,0.7,25.5,Gluttony,Hustle,Thick Fat,75,71,70,40,80,77,127.0,70.0,145.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
21,Spearow,Habitak,オニスズメ (Onisuzume),1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,2.0,Keen Eye,,Sniper,40,60,30,31,31,70,255.0,70.0,52.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,Fearow,Ibitak,オニドリル (Onidrill),1,Normal,Beak Pokémon,Normal,Flying,1.2,38.0,Keen Eye,,Sniper,65,90,65,61,61,100,90.0,70.0,155.0,Medium Fast,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,Ekans,Rettan,アーボ (Arbo),1,Normal,Snake Pokémon,Poison,,2.0,6.9,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,255.0,70.0,58.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
24,Arbok,Arbok,アーボック (Arbok),1,Normal,Cobra Pokémon,Poison,,3.5,65.0,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,90.0,70.0,157.0,Medium Fast,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
25,Pikachu,Pikachu,ピカチュウ (Pikachu),1,Normal,Mouse Pokémon,Electric,,0.4,6.0,Static,,Lightning Rod,35,55,40,50,50,90,190.0,70.0,112.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Partner Pikachu,Pikachu,ピカチュウ (Pikachu),1,Normal,Mouse Pokémon,Electric,,0.4,6.0,,,Lightning Rod,45,80,50,75,60,120,190.0,70.0,112.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Raichu,Raichu,ライチュウ (Raichu),1,Normal,Mouse Pokémon,Electric,,0.8,30.0,Static,,Lightning Rod,60,90,55,90,80,110,75.0,70.0,218.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Alolan Raichu,Raichu,ライチュウ (Raichu),1,Normal,Mouse Pokémon,Electric,Psychic,0.7,21.0,Surge Surfer,,,60,85,50,95,85,110,75.0,70.0,218.0,Medium Fast,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
27,Sandshrew,Sandan,サンド (Sand),1,Normal,Mouse Pokémon,Ground,,0.6,12.0,Sand Veil,,Sand Rush,50,75,85,20,30,40,255.0,70.0,60.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
27,Alolan Sandshrew,Sandan,サンド (Sand),1,Normal,Mouse Pokémon,Ice,Steel,0.7,40.0,Snow Cloak,,Slush Rush,50,75,90,10,35,40,255.0,70.0,60.0,Medium Fast,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
28,Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Mouse Pokémon,Ground,,1.0,29.5,Sand Veil,,Sand Rush,75,100,110,45,55,65,90.0,70.0,158.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
28,Alolan Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Mouse Pokémon,Ice,Steel,1.2,55.0,Snow Cloak,,Slush Rush,75,100,120,25,65,65,90.0,70.0,158.0,Medium Fast,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
29,Nidoran♀,Nidoran♀,ニドラン♀ (Nidoran♀),1,Normal,Poison Pin Pokémon,Poison,,0.4,7.0,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,235.0,70.0,55.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
30,Nidorina,Nidorina,ニドリーナ (Nidorina),1,Normal,Poison Pin Pokémon,Poison,,0.8,20.0,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,120.0,70.0,128.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,Nidoqueen,Nidoqueen,ニドクイン (Nidoqueen),1,Normal,Drill Pokémon,Poison,Ground,1.3,60.0,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,45.0,70.0,227.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
32,Nidoran♂,Nidoran♂,ニドラン♂ (Nidoran♂),1,Normal,Poison Pin Pokémon,Poison,,0.5,9.0,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,235.0,70.0,55.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
33,Nidorino,Nidorino,ニドリーノ (Nidorino),1,Normal,Poison Pin Pokémon,Poison,,0.9,19.5,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,120.0,70.0,128.0,Medium Slow,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
34,Nidoking,Nidoking,ニドキング (Nidoking),1,Normal,Drill Pokémon,Poison,Ground,1.4,62.0,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,45.0,70.0,227.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
35,Clefairy,Piepi,ピッピ (Pippi),1,Normal,Fairy Pokémon,Fairy,,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,150.0,140.0,113.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
36,Clefable,Pixi,ピクシー (Pixy),1,Normal,Fairy Pokémon,Fairy,,1.3,40.0,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,25.0,140.0,217.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
37,Vulpix,Vulpix,ロコン (Rokon),1,Normal,Fox Pokémon,Fire,,0.6,9.9,Flash Fire,,Drought,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
37,Alolan Vulpix,Vulpix,ロコン (Rokon),1,Normal,Fox Pokémon,Ice,,0.6,9.9,Snow Cloak,,Snow Warning,38,41,40,50,65,65,190.0,70.0,60.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
38,Ninetales,Vulnona,キュウコン (Kyukon),1,Normal,Fox Pokémon,Fire,,1.1,19.9,Flash Fire,,Drought,73,76,75,81,100,100,75.0,70.0,177.0,Medium Fast,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
38,Alolan Ninetales,Vulnona,キュウコン (Kyukon),1,Normal,Fox Pokémon,Ice,Fairy,1.1,19.9,Snow Cloak,,Snow Warning,73,67,75,81,100,109,75.0,70.0,177.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
39,Jigglypuff,Pummeluff,プリン (Purin),1,Normal,Balloon Pokémon,Normal,Fairy,0.5,5.5,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,170.0,70.0,95.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
40,Wigglytuff,Knuddeluff,プクリン (Pukurin),1,Normal,Balloon Pokémon,Normal,Fairy,1.0,12.0,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,50.0,70.0,196.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
41,Zubat,Zubat,ズバット (Zubat),1,Normal,Bat Pokémon,Poison,Flying,0.8,7.5,Inner Focus,,Infiltrator,40,45,35,30,40,55,255.0,70.0,49.0,Medium Fast,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
42,Golbat,Golbat,ゴルバット (Golbat),1,Normal,Bat Pokémon,Poison,Flying,1.6,55.0,Inner Focus,,Infiltrator,75,80,70,65,75,90,90.0,70.0,159.0,Medium Fast,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
43,Oddish,Myrapla,ナゾノクサ (Nazonokusa),1,Normal,Weed Pokémon,Grass,Poison,0.5,5.4,Chlorophyll,,Run Away,45,50,55,75,65,30,255.0,70.0,64.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
44,Gloom,Duflor,クサイハナ (Kusaihana),1,Normal,Weed Pokémon,Grass,Poison,0.8,8.6,Chlorophyll,,Stench,60,65,70,85,75,40,120.0,70.0,138.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
45,Vileplume,Giflor,ラフレシア (Ruffresia),1,Normal,Flower Pokémon,Grass,Poison,1.2,18.6,Chlorophyll,,Effect Spore,75,80,85,110,90,50,45.0,70.0,221.0,Medium Slow,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
46,Paras,Paras,パラス (Paras),1,Normal,Mushroom Pokémon,Bug,Grass,0.3,5.4,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,190.0,70.0,57.0,Medium Fast,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
47,Parasect,Parasek,パラセクト (Parasect),1,Normal,Mushroom Pokémon,Bug,Grass,1.0,29.5,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,75.0,70.0,142.0,Medium Fast,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
48,Venonat,Bluzuk,コンパン (Kongpang),1,Normal,Insect Pokémon,Bug,Poison,1.0,30.0,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,190.0,70.0,61.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
49,Venomoth,Omot,モルフォン (Morphon),1,Normal,Poison Moth Pokémon,Bug,Poison,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,75.0,70.0,158.0,Medium Fast,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
50,Diglett,Digda,ディグダ (Digda),1,Normal,Mole Pokémon,Ground,,0.2,0.8,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,255.0,70.0,53.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
50,Alolan Diglett,Digda,ディグダ (Digda),1,Normal,Mole Pokémon,Ground,Steel,0.2,1.0,Sand Veil,Tangling Hair,Sand Force,10,55,30,35,45,90,255.0,70.0,53.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
51,Dugtrio,Digdri,ダグトリオ (Dugtrio),1,Normal,Mole Pokémon,Ground,,0.7,33.3,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,50.0,70.0,149.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
51,Alolan Dugtrio,Digdri,ダグトリオ (Dugtrio),1,Normal,Mole Pokémon,Ground,Steel,0.7,66.6,Sand Veil,Tangling Hair,Sand Force,35,100,60,50,70,110,50.0,70.0,149.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
52,Meowth,Mauzi,ニャース (Nyarth),1,Normal,Scratch Cat Pokémon,Normal,,0.4,4.2,Pickup,Technician,Unnerve,40,45,35,40,40,90,255.0,70.0,58.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
52,Alolan Meowth,Mauzi,ニャース (Nyarth),1,Normal,Scratch Cat Pokémon,Dark,,0.4,4.2,Pickup,Technician,Rattled,40,35,35,50,40,90,255.0,70.0,58.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
52,Galarian Meowth,Mauzi,ニャース (Nyarth),1,Normal,Scratch Cat Pokémon,Steel,,0.4,7.5,Pickup,Tough Claws,Unnerve,50,65,55,40,40,40,,,,Medium Fast,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
53,Persian,Snobilikat,ペルシアン (Persian),1,Normal,Classy Cat Pokémon,Normal,,1.0,32.0,Limber,Technician,Unnerve,65,70,60,65,65,115,90.0,70.0,154.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
53,Alolan Persian,Snobilikat,ペルシアン (Persian),1,Normal,Classy Cat Pokémon,Dark,,1.1,33.0,Fur Coat,Technician,Rattled,65,60,60,75,65,115,90.0,70.0,154.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
54,Psyduck,Enton,コダック (Koduck),1,Normal,Duck Pokémon,Water,,0.8,19.6,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,190.0,70.0,64.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
55,Golduck,Entoron,ゴルダック (Golduck),1,Normal,Duck Pokémon,Water,,1.7,76.6,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,75.0,70.0,175.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
56,Mankey,Menki,マンキー (Mankey),1,Normal,Pig Monkey Pokémon,Fighting,,0.5,28.0,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,190.0,70.0,61.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
57,Primeape,Rasaff,オコリザル (Okorizaru),1,Normal,Pig Monkey Pokémon,Fighting,,1.0,32.0,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,75.0,70.0,159.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
58,Growlithe,Fukano,ガーディ (Gardie),1,Normal,Puppy Pokémon,Fire,,0.7,19.0,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,190.0,70.0,70.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
59,Arcanine,Arkani,ウインディ (Windie),1,Normal,Legendary Pokémon,Fire,,1.9,155.0,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,75.0,70.0,194.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
